-10.3157,8.9800
0.3509,-7.4300
-6.4594,8.7400
-0.0358,-2.1100
2.2972,8.9200
-0.3509,3.1300
3.3330,-6.8733
-0.6133,8.3300
4.6136,8.8500
1.6849,-7.4500
7.0176,-7.1908
1.2972,-2.1716
10.3157,8.7700
0.9642,3.0600
15.0334,-7.6134
0.7028,8.3158
-25.0294,-7.3670
-2.2972,-7.0800
-14.6883,-7.0145
-2.7206,-1.8100
-7.9100,-7.7700
-3.0357,3.5500
-5.4070,-7.6485
-3.2616,8.5900
-3.6670,-7.2500
-1.0000,-7.2700
-4.0891,-2.0285
-1.3688,-1.9100
-4.3864,3.2434
-1.7028,3.3300
-4.6492,8.4500
-1.9285,8.5600
